Article_Name,Link,About,Skills
Writing a Serverless Android app (ft. Huawei’s AppGallery Connect) — Part 3 — More CloudDB,https://medium.com/huawei-developers/writing-a-serverless-android-app-ft-huaweis-appgallery-connect-part-3-more-clouddb-d64fa33b5f4a?source=topic_page---------15------------------1----------,--------,andriod development
State in Jetpack Compose,https://agarasul.medium.com/state-in-jetpack-compose-f2c0dc20d442?source=topic_page---------16------------------1----------,--------,andriod development
The Dark Art of Building an Enterprise-Grade Mobile App — Part 1,https://medium.com/@sundarsingh_2383/the-dark-art-of-building-an-enterprise-grade-mobile-app-part-1-34ff34387deb?source=topic_page---------17------------------1----------,--------,andriod development
The Dark Art of Building an Enterprise-Grade Mobile App — Part 2,https://medium.com/@sundarsingh_2383/the-dark-art-of-building-an-enterprise-grade-mobile-app-part-2-950f1d9e911b?source=topic_page---------18------------------1----------,--------,andriod development
Re-writing the AOSP Calendar App in Kotlin,https://medium.com/androiddevelopers/re-writing-the-aosp-calendar-app-in-kotlin-48ceb0e3a65c?source=topic_page---------19------------------1----------,--------,andriod development
Camera2 - Everything You Wanted To Know,https://proandroiddev.com/camera2-everything-you-wanted-to-know-2501f9fd846a?source=topic_page---------20------------------1----------,--------,andriod development
Configure your Android Application remotely with Firebase Remote Config,https://medium.com/@dokkar-rachid-reda/configure-your-android-application-remotely-with-firebase-remote-config-aa012073ada0?source=topic_page---------21------------------1----------,--------,andriod development
Which Mobile Development Framework Is Right For You?,https://javascript.plainenglish.io/which-mobile-development-framework-is-right-for-you-57d0c1bbfaf0?source=topic_page---------22------------------1----------,--------,andriod development
Google login in Ionic Capacitor app with Angular,https://medium.com/enappd/google-login-in-ionic-capacitor-app-with-angular-bb0e8fbba620?source=topic_page---------23------------------1----------,--------,andriod development
Implementing a Splash Screen in Android (Kotlin),https://medium.com/@tom.truyen/implementing-a-splash-screen-in-android-kotlin-3f999b5783bd?source=topic_page---------24------------------1----------,--------,andriod development
Navigating lists in Jetpack Compose with LazyListState,https://mattrobertson333.medium.com/navigating-lists-in-jetpack-compose-with-lazyliststate-b416d7448014?source=topic_page---------25------------------1----------,--------,andriod development
Get Ready for a Hot Phone Fall,https://debugger.medium.com/get-ready-for-a-hot-phone-fall-2088fe088e3e?source=topic_page---------26------------------1----------,--------,andriod development
Design Patterns in Android with Kotlin,https://medium.com/@bhakadepatil/design-patterns-in-android-with-kotlin-a64484665eeb?source=topic_page---------27------------------1----------,--------,andriod development
Hilt — The official new DI Library for Android (Part-2),https://medium.com/simform-engineering/hilt-the-official-new-di-library-for-android-part-2-995ed894cec0?source=topic_page---------28------------------1----------,--------,andriod development
🎵 INTRODUCING Direct Music Player,https://ibrajix.medium.com/introducing-direct-music-player-ac28ea22b326?source=topic_page---------29------------------1----------,--------,andriod development
Exploring App Bars in Jetpack Compose,https://betterprogramming.pub/exploring-app-bars-in-jetpack-compose-94a7e0920e32?source=topic_page---------30------------------1----------,--------,andriod development
Recycler View Internals — I: Birth Of ViewHolder,https://proandroiddev.com/recycler-view-internals-i-birth-of-viewholder-ae536760839c?source=topic_page---------31------------------1----------,--------,andriod development
Beginner: Find yoga pose using Huawei ML kit skeleton detection — Part 1,https://medium.com/huawei-developers/beginner-find-yoga-pose-using-huawei-ml-kit-skeleton-detection-part-1-4517f325700d?source=topic_page---------32------------------1----------,--------,andriod development
Android OCR Recognition for Passport MRZ,https://yushulx.medium.com/android-ocr-recognition-for-passport-mrz-cfe03f6b5fad?source=topic_page---------33------------------1----------,--------,andriod development
"Loading images for Jetpack Compose using Glide, Coil, and Fresco",https://proandroiddev.com/loading-images-for-jetpack-compose-using-glide-coil-and-fresco-1211261a296e?source=topic_page---------34------------------1----------,--------,andriod development
Migrate from Dagger to Hilt — A Step by Step Guide,https://trinhlbk1991.medium.com/migrate-from-dagger-to-hilt-a-step-by-step-guide-ac249d0eac07?source=topic_page---------35------------------1----------,--------,andriod development
