Article_Name,Link,About,Skills
Analyzing ML Model using Dashboard,https://towardsdatascience.com/analyzing-ml-model-using-dashboard-f69e17a942f9?source=topic_page---------11------------------1----------,Using Evidently for Creating Machine Learning Model Dashboard,machine learning
Deploy FastAPI on Azure with Github Actions,https://towardsdatascience.com/deploy-fastapi-on-azure-with-github-actions-32c5ab248ce3?source=topic_page---------12------------------1----------,Automate your deployment workflow with Github Actions,machine learning
7 Cool Python Packages Kagglers Are Using Without Telling You,https://towardsdatascience.com/7-cool-python-packages-kagglers-are-using-without-telling-you-e83298781cf4?source=topic_page---------13------------------1----------,Let me reveal the secrets…,machine learning
Mask Detection using YOLOv5,https://towardsdatascience.com/mask-detection-using-yolov5-ae40979227a6?source=topic_page---------14------------------1----------,Explanation of key concepts followed by a simple mask detection implementation using YOLOv5,machine learning
Data-Driven Approach for Schedule Optimizations,https://towardsdatascience.com/data-driven-approach-for-schedule-optimizations-60fdcba1376e?source=topic_page---------15------------------1----------,How to use Google OR-Tools for scheduling problems and visualize the output with Plotly,machine learning
Data Viz meets Death,https://towardsdatascience.com/data-viz-meets-death-a481498f7a58?source=topic_page---------16------------------1----------,Exploring the interaction between the living and the deceased through data visualization,machine learning
An Overview of ML on AWS,https://towardsdatascience.com/an-overview-of-ml-on-aws-d3c0ada16dac?source=topic_page---------17------------------1----------,A comprehensive set of resources for ML offerings from auto-AI services to building custom deep learning models,machine learning
Increasing Model Reliability: Model Selection —  Cross-Validation —,https://towardsdatascience.com/increasing-model-reliability-model-selection-cross-validation-1ce0bf506cd?source=topic_page---------18------------------1----------,Model selection/types to increase result reliability with python implementation in one view.,machine learning
Deploy a Hugging Face Pretrained Model on SageMaker Part1,https://medium.com/@florentjakubowski/deploy-a-hugging-face-pretrained-model-on-sagemaker-part1-ba84622291b0?source=topic_page---------19------------------1----------,Introduction : The goal of this series of articles is to get hands on deployment of Machine Learning Models on Amazon Sagemaker. We follow…,machine learning
Introduction to Recommendation Systems with Tensorflow-Recommenders,https://medium.com/@hamza.emra/introduction-to-recommendation-systems-with-tensorflow-recommenders-a116e5e5a940?source=topic_page---------20------------------1----------,One of the main reasons everybody likes their mother’s or partner’s cooking is that they prepare the specific food for your taste. They…,machine learning
Solving Interview Problems with Deep Learning,https://m.mage.ai/solving-interview-problems-with-deep-learning-4de3fd7e2966?source=topic_page---------21------------------1----------,"It’s been a while since I’ve practiced programming interview questions, and I worry that my skills are lacking. It’s always important to…",machine learning
How to build a Deep Learning system that will answer questions about the Harry Potter universe?,https://radekosmulski.medium.com/how-to-build-a-deep-learning-system-that-will-answer-questions-about-the-harry-potter-universe-3349f89af60c?source=topic_page---------22------------------1----------,"To achieve our goal, which is to build a Q&A system that will answer questions about the Harry Potter universe, we will use NVIDIA Riva and…",machine learning
A one-character MLflow pull request,https://towardsdatascience.com/a-one-character-mlflow-pull-request-6d135437702d?source=topic_page---------23------------------1----------,"Last week I was tasked with writing a document about best practices for a team of data scientists to coordinate experiments using MLflow, a…",machine learning
Ontology of Deepfakes,https://medium.com/@therealjdb/ontology-of-deepfakes-8507aaa6af88?source=topic_page---------24------------------1----------,A theoretical exploration of what makes a deepfake deep.,machine learning
Visualizing and Preprocessing Image Dataset,https://towardsdatascience.com/visualizing-and-preprocessing-image-dataset-e3ad574f7be6?source=topic_page---------25------------------1----------,Using Tensorbay and SkImage for Visualizing and Preprocessing large datasets,machine learning
Baby steps 3: Linear regression and Logistic regression,https://noraea.medium.com/baby-steps-3-linear-regression-and-logistic-regression-9bee35bee5f4?source=topic_page---------26------------------1----------,"Two very important supervised learning algorithms are linear regression and logistic regression. These algorithms take in features, which…",machine learning
Why should you leverage transfer learning?,https://azunre.medium.com/why-should-you-leverage-transfer-learning-14d08a60f616?source=topic_page---------27------------------1----------,The following is an extract from my newly released book “Transfer Learning for Natural Language Processing”. The extract summarizes some…,machine learning
Autoencoders: Introduction and Practical Applications,https://towardsdatascience.com/autoencoders-introduction-and-practical-applications-3eb7b5c1c7fd?source=topic_page---------28------------------1----------,Autoencoders are probably the first neural networks to come to one’s mind when we think of unsupervised learning approaches. It is widely…,machine learning
"Hands-On Climate Time Series Classification with Deep Learning, using Python",https://towardsdatascience.com/hands-on-climate-time-series-classification-with-deep-learning-using-python-6d5de81004c9?source=topic_page---------29------------------1----------,"Here’s how to build a Deep Neural Network for Time Series Classification, with few lines of code",machine learning
Use this clustering method if you have many outliers,https://towardsdatascience.com/use-this-clustering-method-if-you-have-many-outliers-5c99b4cd380d?source=topic_page---------30------------------1----------,The k-medians variation for robust outcomes,machine learning
Core ML,https://nadiaahmadian.medium.com/core-ml-e840938a55d9?source=topic_page---------31------------------1----------,CoreML is Apple’s almost new machine learning framework that enables us to make our apps more intelligent.,machine learning
Digital Image Thresholding Techniques…,https://medium.com/@shashikadilhani97/digital-image-thresholding-techniques-969b006c9e07?source=topic_page---------32------------------1----------,Types of image thresholding techniques…,machine learning
Sneak view into TensorFlow library and simple implementation of NAND,https://adityagoel123.medium.com/sneak-view-into-tensorflow-library-and-simple-implementation-of-nand-9baed86bcc48?source=topic_page---------33------------------1----------,Introduction to TensorFlow :- TensorFlow is a library which is used by another library known as Keras. TensorFlow sits on the top of…,machine learning
Digital Image Processing Filters,https://medium.com/@shashikadilhani97/digital-image-processing-filters-832ec6d18a73?source=topic_page---------34------------------1----------,Types of images filters and smoothing techniques….,machine learning
Dealing with Complex and Nested Data,https://piexchange.medium.com/dealing-with-complex-and-nested-data-98bbbae4fa6c?source=topic_page---------35------------------1----------,"Often, datasets contain complex data types, such as nested JSON arrays. These values can be difficult to wrangle. This article presents…",machine learning
