Article_Name,Link,About,Skills
"Thanks, Facebook, I Didn’t Want Your Brain Interface, Anyway",https://onezero.medium.com/thanks-facebook-i-didnt-want-your-brain-interface-anyway-586e1403c228?source=topic_page---------22------------------1----------,"Facebook’s brain gear is dead, but the research and possibilities continue",neuroscience
Could Bilingualism Be A Natural Therapy For Autism?,https://medium.com/invisible-illness/could-bilingualism-be-a-natural-therapy-for-autism-69cd3ccab61d?source=topic_page---------23------------------1----------,Bilingualism can make up for a big deficit in autistic individuals.,neuroscience
Why Speaking Out Loud Makes You Smarter,https://medium.com/preoccupy-negative-thoughts/why-speaking-out-loud-makes-you-smarter-783732eec9dc?source=topic_page---------24------------------1----------,"Despite social stigma, research reports that it's optimal for your memory.",neuroscience
Memory – How Much Confidence Can One Place In It?,https://dereklondon.medium.com/memory-how-much-confidence-can-one-place-in-it-8170c93aaff0?source=topic_page---------25------------------1----------,This changes everything!,neuroscience
How VR Could Make You Smarter,https://medium.com/fast-company/how-vr-could-make-you-smarter-7e8664ec1c5c?source=topic_page---------26------------------1----------,A scientist just proved that virtual reality can induce powerful brain states for intelligence and health. Now he believes the (virtual)…,neuroscience
Bacteria and Viruses — Culprits in Neurodegenerative Diseases?,https://medium.com/nerd-for-tech/bacteria-and-viruses-culprits-in-neurodegenerative-diseases-5f6a39dd8f49?source=topic_page---------27------------------1----------,The revival of a long-standing hypothesis,neuroscience
Have we lost our way? Navigation and wayfinding in the 21st century,https://stephstephwong.medium.com/have-we-lost-our-way-navigation-and-wayfinding-in-the-21st-century-8f1181db1a94?source=topic_page---------28------------------1----------,"Exploring Inuit navigation, the impact of GPS and the importance of maps for understanding our experiences and memories",neuroscience
An Introduction to Brain-Computer Interfaces,https://medium.com/geekculture/an-introduction-to-brain-computer-interfaces-3c2b39873c5e?source=topic_page---------29------------------1----------,A new definition of human,neuroscience
The ‘Breakthrough Therapy’ for PTSD,https://medium.com/invisible-illness/the-breakthrough-therapy-for-ptsd-bb7ffbf80050?source=topic_page---------30------------------1----------,Research suggest MDMA could cure PTSD: Here’s the neuroscientific evidence behind this therapy,neuroscience
Psychedelics: The Scientific Renaissance of Mind-Altering Drugs,https://medium.com/invisible-illness/psychedelics-the-scientific-renaissance-of-mind-altering-drugs-c9ce96c71d64?source=topic_page---------31------------------1----------,This is why psychedelics are the future for treating mental illnesses,neuroscience
Why the World Always Seems to Be Getting Worse — Even When It’s Not,https://elemental.medium.com/why-the-world-always-seems-to-be-getting-worse-even-when-its-not-666c42c0cdb9?source=topic_page---------32------------------1----------,Neuroscientists may have identified a brain quirk that encourages pessimism.,neuroscience
Are You Aware of How Mindfulness Changes Your Brain?,https://medium.com/beingwell/are-you-aware-of-how-mindfulness-changes-your-brain-9db31262125b?source=topic_page---------33------------------1----------,MEDITATION MAY REDUCE your perceived stress levels and appears to change brain regions associated with emotion regulation. This is the…,neuroscience
The Coolest Discovery In Neuroscience This Decade,https://medium.com/artificial-intelligence-and-cognition/what-makes-emotions-feel-good-or-bad-9bdcd0a81afc?source=topic_page---------34------------------1----------,New Research Uncovers What Makes Your Emotions Feel Good or Bad,neuroscience
