Article_Name,Link,About,Skills
Deep Dive to Data Replication,https://rohitgoel11.medium.com/deep-dive-to-data-replication-b0a6bd8a3171?source=topic_page---------11------------------1----------,Replication means creating and maintaining the copy of data on multiple nodes connected via a network. There are various reasons where data…,programming
"The Great Fleece: Point & Click Movement, Part 3",https://reisuj.medium.com/the-great-fleece-point-click-movement-part-3-54baf20042e4?source=topic_page---------12------------------1----------,"Now that the scripting to determine the coordinates when the screen is left-clicked is completed, it’s time to have the Player actually…",programming
The art of problem-solving in programming industry,https://medium.com/codewriters/the-art-of-problem-solving-in-programming-industry-8e78512d5c17?source=topic_page---------13------------------1----------,The Why? and How? behind the backbone of the whole programming industry — problem-solving,programming
Developers Shouldn’t be Afraid of Deadlocks in SQL Server,https://esashamathews.medium.com/developers-shouldnt-be-afraid-of-deadlocks-in-sql-server-8f8f4578675f?source=topic_page---------14------------------1----------,The strategy to deal with deadlocks for backend developers.,programming
Scoped Storage Support in Practo’s Android Apps,https://medium.com/@parassidhu/scoped-storage-support-in-practos-android-apps-53efd7d182fd?source=topic_page---------15------------------1----------,Scoped Storage was introduced in Android 10 but was not enforced till Android 11 given we use requestLegacyExternalStorage flag in…,programming
How to Mock for Unit Testing,https://medium.com/c-sharp-progarmming/how-to-mock-for-unit-testing-644ef7323196?source=topic_page---------16------------------1----------,I have got the discussion with my colleague about unit testing with some scenario that his/her target function will involved into others…,programming
Kubernetes Deployment Explained,https://medium.com/geekculture/kubernetes-deployment-explained-9b2b89dd3977?source=topic_page---------17------------------1----------,Learn what is Deployment in the Kubernetes cluster and learn the advantages of the Deployment object.,programming
Updating the Shooting Logic,https://gert-coppens100.medium.com/updating-the-shooting-logic-32130df5f76a?source=topic_page---------18------------------1----------,"Let’s tweak the behaviour for shooting projectiles with the laser weapon.
Currently when a key is pressed, our weapon only shoots once…",programming
The Tested Way to Build a UI Test Automation Framework,https://cerberus-testing.medium.com/the-tested-way-to-build-a-ui-test-automation-framework-39348b2eda18?source=topic_page---------19------------------1----------,Delivering successful user interfaces is one of the main challenges of digital transformation. We must constantly iterate to improve the…,programming
Python GUI Application Development,https://alpha2phi.medium.com/python-gui-application-development-34239123113e?source=topic_page---------20------------------1----------,Libraries and toolkits to develop GUI applications in Python.,programming
How to get an opportunity of an innovative project from scratch?,https://tsuyoshiushio.medium.com/how-to-get-an-opportunity-of-an-innovative-project-from-scratch-5f4f7974b5ed?source=topic_page---------21------------------1----------,Many people working on add feature/improvement on legacy code. Not many people working on designing from scratch and write code for brand…,programming
The error message that every MySQL user knows,https://blog.database.guru/the-error-message-that-every-mysql-user-knows-cf3dccc92df1?source=topic_page---------22------------------1----------,But do you really understand what it means?,programming
Github Top 5 Bag of Tricks,https://codenamewei.medium.com/github-top-5-bag-of-tricks-4cecb4cd3dbb?source=topic_page---------23------------------1----------,Essential tips when working with Github in web browser,programming
Understanding the Algorithm behind Merge Sort for Linked Lists,https://medium.com/javarevisited/understanding-the-algorithm-behind-merge-sort-for-linked-lists-79ef7f6f2f94?source=topic_page---------24------------------1----------,What is a Merge Sort?,programming
Joining Strategies in Apache Spark,https://krishnaprasad-k.medium.com/joining-strategies-in-apache-spark-f802a7dab150?source=topic_page---------25------------------1----------,Apache spark is one of the widely used analytics engine for data processing. Spark provides a wide range of APIs for performing analytics…,programming
"We have grounding problems, time to fix it!",https://asealiea.medium.com/we-have-grounding-problems-time-to-fix-it-a35e17dd395?source=topic_page---------26------------------1----------,Objective: Fixing the issues with the raycasting for IsGrounded.,programming
Remote Engineering Should Not Mean Engineering Alone,https://medium.com/facet-engineering/remote-engineering-should-not-mean-engineering-alone-b826e1ae3bc4?source=topic_page---------27------------------1----------,"Facet Engineering is a fully distributed, remote-first team. Being remote offers tremendous flexibility and a literal world of talent, but…",programming
"Choose The Right Cloud Model For Your Business: IaaS, PaaS, and SaaS",https://medium.com/instinctools/choose-the-right-cloud-model-for-your-business-iaas-paas-and-saas-31ba4f56e845?source=topic_page---------28------------------1----------,"Today’s world is flooded with anything-as-a-service. Restaurants provide meals-as-a-service, travel agencies offer holidays-as-a-service…",programming
Monetize your Games with Reward Ads in Unity,https://mike-87852.medium.com/monetize-your-games-with-reward-ads-in-unity-6d7ef92415cf?source=topic_page---------29------------------1----------,"Grinding your way through a level to accrue enough gold for that shiny new sword, used to standard practice in gaming. It can be time…",programming
Productivity tools from Internet3.0,https://erma0x.medium.com/productivity-tools-from-internet3-0-9cf4fe04552e?source=topic_page---------30------------------1----------,--------,programming
Serverless Kafka in a Cloud-native Data Lake Architecture,https://kai-waehner.medium.com/serverless-kafka-in-a-cloud-native-data-lake-architecture-216196d398cb?source=topic_page---------31------------------1----------,Understand how to leverage cloud-native and serverless Apache Kafka on hybrid cloud to process data in motion complementary to the data…,programming
Designing a library for inter-service communication in SOA,https://medium.com/nerd-for-tech/designing-a-library-for-inter-service-communication-in-soa-6c4b297be422?source=topic_page---------32------------------1----------,My previous article was about additional complexity that appears when one splits a monolithic system into parts. The basic idea is that…,programming
What is Coding?,https://wen-mcnair.medium.com/what-is-coding-a8f4200e502?source=topic_page---------33------------------1----------,Cracking the code to take the mystery out of coding,programming
Implementing Unity’s New Input Controls,https://mike-87852.medium.com/implementing-unitys-new-input-controls-8131dece5fb5?source=topic_page---------34------------------1----------,"If you have used input that is more complex than simple horizontal/vertical movement, you have struggled assigning button presses to…",programming
The Future of Software Development in 2021 and Beyond,https://medium.com/instinctools/the-future-of-software-development-in-2021-and-beyond-6eb8e65c191f?source=topic_page---------35------------------1----------,"The year 2020 stormed into our lives, bringing changes that most of us were not ready for. Businesses had to either take the path of…",programming
