Article_Name,Link,About,Skills,
How to detect runtime threats in Kubernetes,https://amitashwini.medium.com/how-to-detect-runtime-threats-in-kubernetes-754c46f72fdb?source=topic_page---------11------------------1----------,Kubernetes is one of the leaders in the container orchestration market. A recent survey by Cloud Native Computing Foundation (CNCF)…,cybersecurity,https://amitashwini.medium.com/how-to-detect-runtime-threats-in-kubernetes-754c46f72fdb?source=topic_page---------11------------------1----------
C and C++: Still Alive and Kicking!,https://medium.com/asecuritysite-when-bob-met-alice/c-and-c-still-alive-and-kicking-92a510f7dd3d?source=topic_page---------12------------------1----------,"For non-crypto hashing, it’s a winner.",cybersecurity,https://medium.com/asecuritysite-when-bob-met-alice/c-and-c-still-alive-and-kicking-92a510f7dd3d?source=topic_page---------12------------------1----------
I Watched a Training Video for Iranian Hackers,https://medium.com/pcmag-access/i-watched-a-training-video-for-iranian-hackers-17a1077e4750?source=topic_page---------13------------------1----------,"I may not be ready to work for a state-sponsored hacking group, but at Black Hat, I learned some surprising things about how these groups…",cybersecurity,https://medium.com/pcmag-access/i-watched-a-training-video-for-iranian-hackers-17a1077e4750?source=topic_page---------13------------------1----------
Understanding ITP and its effects,https://nagendranukala.medium.com/understanding-itp-and-its-effects-67c137cd4d84?source=topic_page---------14------------------1----------,"understand how different browsers deal with cookies, seeing how safari deals with ITP,  the effect of ITP restrictions on Adobe solutions.",cybersecurity,https://nagendranukala.medium.com/understanding-itp-and-its-effects-67c137cd4d84?source=topic_page---------14------------------1----------
Facebook escalates war on accountability,https://doctorow.medium.com/facebook-escalates-war-on-accountability-e6ab3c248105?source=topic_page---------15------------------1----------,Privacywashing vs Ad Observer.,cybersecurity,https://doctorow.medium.com/facebook-escalates-war-on-accountability-e6ab3c248105?source=topic_page---------15------------------1----------
HTTP vs HTTPS—Why HTTP Is Not Safe?,https://enlear.academy/http-vs-https-93c87cf51a20?source=topic_page---------16------------------1----------,Differences between HTTP and HTTPS and why you should avoid HTTP sites.,cybersecurity,https://enlear.academy/http-vs-https-93c87cf51a20?source=topic_page---------16------------------1----------
What is SCA security?,https://blog.shiftleft.io/what-is-sca-security-629df9adf0b4?source=topic_page---------17------------------1----------,It’s similar to your home’s security.,cybersecurity,https://blog.shiftleft.io/what-is-sca-security-629df9adf0b4?source=topic_page---------17------------------1----------
How to preserve and handle Location Data Privacy,https://medium.com/spatial-data-science/how-to-preserve-and-handle-location-data-privacy-e165f59aa9e7?source=topic_page---------18------------------1----------,Threats of Location-based data and mechanisms to mitigate them,cybersecurity,https://medium.com/spatial-data-science/how-to-preserve-and-handle-location-data-privacy-e165f59aa9e7?source=topic_page---------18------------------1----------
HYBRID HACKER SUMMER CAMP 2021 GUIDE — Part Five: FuzzCON,https://defcon201.medium.com/hybrid-hacker-summer-camp-2021-guide-part-five-fuzzcon-b0ba21704b49?source=topic_page---------19------------------1----------,Welcome to the DEFCON 201 guide to Hybrid Hacker Summer Camp! This is part of a series where we are going to cover all the various hacker…,cybersecurity,https://defcon201.medium.com/hybrid-hacker-summer-camp-2021-guide-part-five-fuzzcon-b0ba21704b49?source=topic_page---------19------------------1----------
GSoC 2021 with SCoRe Lab — Week 9,https://medium.com/scorelab/gsoc-2021-with-score-lab-week-9-3f4c7a7474f8?source=topic_page---------20------------------1----------,tl;dr — This is the tenth article of my journey into the Google Summer of Code 2021 with SCoRe Lab.,cybersecurity,https://medium.com/scorelab/gsoc-2021-with-score-lab-week-9-3f4c7a7474f8?source=topic_page---------20------------------1----------
Preventing account takeovers,https://0xdaniooo.medium.com/preventing-account-takeovers-efa5c96337a3?source=topic_page---------21------------------1----------,Each day thousands of accounts are compromised by hackers and bots crawling all over the internet. This has many obvious repercussions for…,cybersecurity,https://0xdaniooo.medium.com/preventing-account-takeovers-efa5c96337a3?source=topic_page---------21------------------1----------
Introduction to payment cards,https://medium.com/@d.palmer101/introduction-to-payment-cards-a0d443927209?source=topic_page---------22------------------1----------,"The card, cardholder verification and transaction limits",cybersecurity,https://medium.com/@d.palmer101/introduction-to-payment-cards-a0d443927209?source=topic_page---------22------------------1----------
FYI: Google Can Lock You Out Of Your Account For No (Legitimate) Reason.,https://danielrosehill.medium.com/fyi-google-can-lock-you-out-of-your-account-for-no-legitimate-reason-f6baa59cab53?source=topic_page---------23------------------1----------,A cautionary tale about how the excesses of big tech are allowing major tech providers to ride roughshod over users’ right to access their…,cybersecurity,https://danielrosehill.medium.com/fyi-google-can-lock-you-out-of-your-account-for-no-legitimate-reason-f6baa59cab53?source=topic_page---------23------------------1----------
Nothing is Unhackable,https://journalofbeautifulbusiness.com/nothing-is-unhackable-2bc7e5e6e377?source=topic_page---------24------------------1----------,A conversation with cybersecurity expert and activist Eva Galperin,cybersecurity,https://journalofbeautifulbusiness.com/nothing-is-unhackable-2bc7e5e6e377?source=topic_page---------24------------------1----------
Open Source Vulnerabilities in Web Development,https://medium.com/geekculture/open-source-vulnerabilities-in-web-development-f55fecbc766a?source=topic_page---------25------------------1----------,Web application auditing ways and tools explained easy,cybersecurity,https://medium.com/geekculture/open-source-vulnerabilities-in-web-development-f55fecbc766a?source=topic_page---------25------------------1----------
How I Monitor Active SSH Sessions With Prometheus And Grafana,https://towardsdatascience.com/how-i-monitor-active-ssh-sessions-with-prometheus-and-grafana-f4811da0a8cc?source=topic_page---------26------------------1----------,"It’s a matter of when, not if things will happen. Better be prepared.",cybersecurity,https://towardsdatascience.com/how-i-monitor-active-ssh-sessions-with-prometheus-and-grafana-f4811da0a8cc?source=topic_page---------26------------------1----------
My learnings on Microsoft Defender for Endpoint and Exclusions,https://medium.com/codex/my-learnings-on-microsoft-defender-for-endpoint-and-exclusions-ddacf2fdd047?source=topic_page---------27------------------1----------,"Whenever I’ve had to deal with AV solutions in recent years, the topic of exclusions has always come up at some point. Usually, it was…",cybersecurity,https://medium.com/codex/my-learnings-on-microsoft-defender-for-endpoint-and-exclusions-ddacf2fdd047?source=topic_page---------27------------------1----------
More on the Security Against Fee Sniping in RSK,https://medium.com/iovlabs-innovation-stories/more-on-the-security-against-fee-sniping-in-rsk-602a59591d7f?source=topic_page---------28------------------1----------,In a previous article we discussed different fee sniping attacks and we analyzed how they could impact RSK. In this article we dig deeper…,cybersecurity,https://medium.com/iovlabs-innovation-stories/more-on-the-security-against-fee-sniping-in-rsk-602a59591d7f?source=topic_page---------28------------------1----------
Why Virtual Desktops are (Mostly) More Secure than Physical Ones,https://medium.com/enterprise-nxt/virtual-desktops-security-vdi-85f44da7ca82?source=topic_page---------29------------------1----------,Here’s what you need to know about improving security and manageability with VDI.,cybersecurity,https://medium.com/enterprise-nxt/virtual-desktops-security-vdi-85f44da7ca82?source=topic_page---------29------------------1----------
What to Expect at Black Hat 2021,https://medium.com/pcmag-access/what-to-expect-at-black-hat-2021-58e54a14ca3b?source=topic_page---------30------------------1----------,"After COVID-19 forced a virtual Black Hat 2020, the hacker conference returns to Las Vegas, but not to normalcy.",cybersecurity,https://medium.com/pcmag-access/what-to-expect-at-black-hat-2021-58e54a14ca3b?source=topic_page---------30------------------1----------
8 bits only: What is Cryptography?,https://aashrayanand01.medium.com/8-bits-only-what-is-cryptography-dbd201587757?source=topic_page---------31------------------1----------,"Data encryption is one of the core tenants of modern computing, and is the key to allowing for the technologies of our digital age to…",cybersecurity,https://aashrayanand01.medium.com/8-bits-only-what-is-cryptography-dbd201587757?source=topic_page---------31------------------1----------
#Identity. Are we (the industry) the problem?,https://opengovernance.net/identity-are-we-the-industry-the-problem-48da98143979?source=topic_page---------32------------------1----------,"Why is the idenity and privacy industries so opiniated, fragmented, uncoordinated and disagreeable?",cybersecurity,https://opengovernance.net/identity-are-we-the-industry-the-problem-48da98143979?source=topic_page---------32------------------1----------
How secure is a cell phone?,https://clearops-io.medium.com/how-secure-is-a-cell-phone-8a5aac321484?source=topic_page---------33------------------1----------,Apologies for a shift away from the usual whimsical blog posts.,cybersecurity,https://clearops-io.medium.com/how-secure-is-a-cell-phone-8a5aac321484?source=topic_page---------33------------------1----------
Internet Shutdown: Freedom’s ‘off Switch’ in The World of The Internet,https://medium.com/techstalks/internet-shutdown-freedoms-off-switch-in-the-world-of-the-internet-2e5037ea77da?source=topic_page---------34------------------1----------,"The availability of the Internet makes it easier for people to communicate on the one hand, while its users lose control of certain…",cybersecurity,https://medium.com/techstalks/internet-shutdown-freedoms-off-switch-in-the-world-of-the-internet-2e5037ea77da?source=topic_page---------34------------------1----------
Your Cyber Team Needs Data Analytics,https://blog.nightshiftdevelopment.com/your-cyber-team-needs-data-analytics-a9eaa3261b2?source=topic_page---------35------------------1----------,How Data Analytics Can Improve Your Cybersecurity Posture,cybersecurity,https://blog.nightshiftdevelopment.com/your-cyber-team-needs-data-analytics-a9eaa3261b2?source=topic_page---------35------------------1----------
